,date,amount,total
382,2021-03-19 00:00:00+00:00,12,6085
383,2021-03-20 00:00:00+00:00,7,6092
384,2021-03-21 00:00:00+00:00,14,6106
385,2021-03-22 00:00:00+00:00,13,6119
386,2021-03-23 00:00:00+00:00,15,6134
387,2021-03-24 00:00:00+00:00,10,6144
388,2021-03-25 00:00:00+00:00,10,6154
389,2021-03-26 00:00:00+00:00,11,6165
390,2021-03-27 00:00:00+00:00,6,6171
391,2021-03-28 00:00:00+00:00,12,6183
392,2021-03-29 00:00:00+00:00,10,6193
393,2021-03-30 00:00:00+00:00,11,6204
394,2021-03-31 00:00:00+00:00,16,6220
395,2021-04-01 00:00:00+00:00,7,6227
396,2021-04-02 00:00:00+00:00,16,6243
397,2021-04-03 00:00:00+00:00,7,6250
398,2021-04-04 00:00:00+00:00,8,6258
399,2021-04-05 00:00:00+00:00,6,6264
400,2021-04-06 00:00:00+00:00,6,6270
401,2021-04-07 00:00:00+00:00,9,6279
402,2021-04-08 00:00:00+00:00,11,6290
403,2021-04-09 00:00:00+00:00,10,6300
404,2021-04-10 00:00:00+00:00,9,6309
405,2021-04-11 00:00:00+00:00,6,6315
406,2021-04-12 00:00:00+00:00,6,6321
407,2021-04-13 00:00:00+00:00,13,6334
408,2021-04-14 00:00:00+00:00,3,6337
409,2021-04-15 00:00:00+00:00,2,6339
410,2021-04-16 00:00:00+00:00,5,6344
411,2021-04-17 00:00:00+00:00,7,6351
412,2021-04-18 00:00:00+00:00,4,6355
413,2021-04-19 00:00:00+00:00,3,6358
414,2021-04-20 00:00:00+00:00,3,6361
415,2021-04-21 00:00:00+00:00,2,6363
416,2021-04-22 00:00:00+00:00,2,6365
417,2021-04-23 00:00:00+00:00,5,6370
418,2021-04-24 00:00:00+00:00,4,6374
419,2021-04-25 00:00:00+00:00,2,6376
420,2021-04-26 00:00:00+00:00,3,6379
421,2021-04-27 00:00:00+00:00,6,6385
422,2021-04-28 00:00:00+00:00,0,6385
423,2021-04-29 00:00:00+00:00,2,6387
424,2021-04-30 00:00:00+00:00,2,6389
425,2021-05-01 00:00:00+00:00,2,6391
426,2021-05-02 00:00:00+00:00,1,6392
427,2021-05-03 00:00:00+00:00,2,6394
428,2021-05-04 00:00:00+00:00,2,6396
429,2021-05-05 00:00:00+00:00,2,6398
430,2021-05-06 00:00:00+00:00,2,6400
431,2021-05-07 00:00:00+00:00,2,6402
432,2021-05-08 00:00:00+00:00,1,6403
433,2021-05-09 00:00:00+00:00,1,6404
434,2021-05-10 00:00:00+00:00,2,6406
435,2021-05-11 00:00:00+00:00,1,6407
436,2021-05-12 00:00:00+00:00,0,6407
437,2021-05-13 00:00:00+00:00,3,6410
438,2021-05-14 00:00:00+00:00,0,6410
439,2021-05-15 00:00:00+00:00,1,6411
440,2021-05-16 00:00:00+00:00,1,6412
441,2021-05-17 00:00:00+00:00,3,6415
442,2021-05-18 00:00:00+00:00,0,6415
443,2021-05-19 00:00:00+00:00,0,6415
444,2021-05-20 00:00:00+00:00,0,6415
445,2021-05-21 00:00:00+00:00,2,6417
446,2021-05-22 00:00:00+00:00,0,6417
447,2021-05-23 00:00:00+00:00,1,6418
448,2021-05-24 00:00:00+00:00,1,6419
449,2021-05-25 00:00:00+00:00,1,6420
450,2021-05-26 00:00:00+00:00,0,6420
451,2021-05-27 00:00:00+00:00,2,6422
452,2021-05-28 00:00:00+00:00,1,6423
453,2021-05-29 00:00:00+00:00,0,6423
454,2021-05-30 00:00:00+00:00,0,6423
455,2021-05-31 00:00:00+00:00,0,6423
456,2021-06-01 00:00:00+00:00,1,6424
457,2021-06-02 00:00:00+00:00,0,6424
458,2021-06-03 00:00:00+00:00,1,6425
459,2021-06-04 00:00:00+00:00,0,6425
460,2021-06-05 00:00:00+00:00,1,6426
461,2021-06-06 00:00:00+00:00,0,6426
462,2021-06-07 00:00:00+00:00,1,6427
463,2021-06-08 00:00:00+00:00,1,6428
464,2021-06-09 00:00:00+00:00,0,6428
465,2021-06-10 00:00:00+00:00,0,6428
466,2021-06-11 00:00:00+00:00,0,6428
467,2021-06-12 00:00:00+00:00,1,6429
468,2021-06-13 00:00:00+00:00,1,6430
469,2021-06-14 00:00:00+00:00,0,6430
470,2021-06-15 00:00:00+00:00,0,6430
471,2021-06-16 00:00:00+00:00,1,6431
472,2021-06-17 00:00:00+00:00,0,6431
473,2021-06-18 00:00:00+00:00,0,6431
474,2021-06-19 00:00:00+00:00,0,6431
475,2021-06-20 00:00:00+00:00,0,6431
476,2021-06-21 00:00:00+00:00,0,6431
477,2021-06-22 00:00:00+00:00,0,6431
478,2021-06-23 00:00:00+00:00,0,6431
479,2021-06-24 00:00:00+00:00,0,6431
480,2021-06-25 00:00:00+00:00,1,6432
481,2021-06-26 00:00:00+00:00,0,6432
482,2021-06-27 00:00:00+00:00,0,6432
483,2021-06-28 00:00:00+00:00,0,6432
484,2021-06-29 00:00:00+00:00,0,6432
485,2021-06-30 00:00:00+00:00,0,6432
486,2021-07-01 00:00:00+00:00,0,6432
