,name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
38,אשדוד,7.3,ירוק,6.7,0.0216110019646,2.04,174,ירוק,2021-07-18 00:00:00+00:00,61.65714512943546,55.86027420259887,7.7
39,כפר יונה,4.4,ירוק,14.9,0.0235792019347,-0.6355140186916,77,ירוק,2021-07-18 00:00:00+00:00,62.91507268553941,57.89977046671767,29.5
40,נוקדים,4.4,ירוק,11.6,0.0428571428571,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,39.74458204334365,35.758513931888544,
41,ריינה,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,45.39040451552211,40.51426779554719,0.0
42,עלי,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,50.54626532887403,44.05797101449275,0.0
43,עספיא,1.9,ירוק,0.8,0.0046082949308,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,57.92185147023857,52.60363002298486,
44,עילוט,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,49.23185176498182,43.989679840506625,0.0
45,ראמה,2.0,כתום,1.3,0.0073529411764,0.0, קטן מ-15 ,כתום,2021-07-18 00:00:00+00:00,70.59126626304264,64.45961612778565,
46,נתיבות,3.2,ירוק,4.3,0.0247813411078,0.7,17,ירוק,2021-07-18 00:00:00+00:00,45.32643957826439,40.00405515004055,4.3
47,כפר יאסיף,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,63.87940286857254,58.49351156210362,0.0
48,אחוזת ברק,3.3,ירוק,0.0,0.0,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,74.85404503753128,68.68223519599667,
49,תפרח,4.5,ירוק,13.4,0.078947368421,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,34.507356219349084,24.56531431119037,
50,עלי זהב,4.9,ירוק,13.1,0.037037037037,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,46.926497515040545,40.41328799372221,
51,עיילבון,2.5,ירוק,1.7,0.006993006993,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,62.25566510984258,57.9311537796229,
52,נוף איילון,4.6,ירוק,28.6,0.060606060606,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,87.90476190476191,79.76190476190477,
53,קרית יערים,2.5,ירוק,0.0,0.0,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,39.93921944977607,31.397952655150352,
54,עתלית,2.4,ירוק,1.0,0.0037593984962,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,59.417455743104156,55.269658295594894,
55,פרדס חנה-כרכור,7.2,ירוק,33.2,0.0357230845035,1.1641791044776,175,ירוק,2021-07-18 00:00:00+00:00,61.82926270448609,57.76703477981946,40.1
56,שפרעם,2.0,ירוק,0.5,0.0021668472372,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,59.882075471698116,54.01650943396227,
57,מעגן מיכאל,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,67.77296777296777,64.93506493506493,0.0
58,רמת ישי,3.7,ירוק,3.8,0.0087976539589,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,74.25278622087133,69.1742654508612,
59,אבו רובייעה (שבט),2.0,צהוב,0.0,0.0,0.0, 0 ,צהוב,2021-07-18 00:00:00+00:00,4.862603188963021,4.138866900373177,0.0
60,תל אביב - יפו,4.8,ירוק,10.8,0.0165870975639,0.7770491803277999,647,ירוק,2021-07-18 00:00:00+00:00,65.29046036545813,61.525702823268766,12.9
61,צור משה,2.9,ירוק,3.0,0.0074074074074,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,61.50135664757311,55.140186915887845,
62,אלפי מנשה,5.3,ירוק,20.0,0.0265339966832,0.6000000000000001,21,ירוק,2021-07-18 00:00:00+00:00,73.76107851703907,67.84421420546748,26.2
63,כאוכב אבו אל-היג'א,2.2,כתום,2.7,0.0138888888888,0.0, קטן מ-15 ,כתום,2021-07-18 00:00:00+00:00,59.47497949138638,53.26770576975663,
64,קרית ביאליק,4.7,ירוק,6.5,0.0202854996243,1.7,30,ירוק,2021-07-18 00:00:00+00:00,72.09268819786288,67.9217192940329,7.2
65,מזכרת בתיה,2.5,ירוק,3.3,0.0070323488045,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,74.4749917191123,68.10864524677045,
